time,material_flow,entry_temp,entry_moisture,steam_valve,water_addition,env_temp,env_humidity,out_temp,out_moisture
0,4502.095033005556,29.989613550245863,11.959660548281501,50.0,20.0,25.01092121366532,59.221687376414515,41.39045530280352,7.476236622700975
2,4503.925169389135,30.150516692740005,12.094493029375775,50.0,20.0,25.110735173132284,59.858470312462785,58.81652548002295,17.08337008841606
4,4508.904582990618,30.057791760164644,11.966779828798142,50.0,20.0,25.155012449729675,60.43329503893724,73.54889948437963,13.264632413968402
6,4502.262681430522,30.068850823800535,11.997785505888173,50.0,20.0,25.18386933382352,60.60023726935011,67.04276181348445,19.712266105281955
8,4498.899260687893,30.003109974900664,11.988358602445633,50.0,20.0,24.93759899165461,59.96140586087518,58.0514776859477,18.81219352487084
10,4485.018547605355,30.0208635789818,11.959232376262044,50.0,20.0,25.319230630249375,60.18533596748846,38.1989582342946,19.13306580560235
12,4514.438462688612,29.831177286678574,12.105105586545246,50.0,20.0,24.848255638863733,60.54025508870476,62.13325181549379,15.37902098127637
14,4506.237878229779,29.943696545907684,11.955295433624848,50.0,20.0,25.029183309694762,59.64960866941549,37.681118662469906,18.93940014764588
16,4487.5018185518165,30.037017502678122,11.884914824601363,50.0,20.0,25.064845346051193,60.534664410013,69.10541171923941,12.35763444094281
18,4490.47075604069,30.165677998174893,12.042796432095539,50.0,20.0,24.778993334393757,59.741828625141196,50.70006903254274,11.262952283567522
20,4517.612156225568,29.97954146797942,12.036505205005328,50.0,20.0,24.951961157883908,59.78213055232368,66.5817823090119,15.089100278688841
22,4506.886903791966,29.962415148060394,12.014842151980313,50.0,20.0,25.14614601212488,60.451084759866475,27.335683005239737,19.63826999779154
24,4501.685585170475,30.058890087079003,11.995830290681049,50.0,20.0,24.68853204846352,60.20591159075807,28.43647696038108,16.867302788304382
26,4483.973783146286,29.98597434783773,11.912642329617793,50.0,20.0,24.88456100691551,59.70672590293943,50.23753316996532,15.142947259224687
28,4509.818519896399,30.053492628572084,11.972351089138087,50.0,20.0,25.14402969715623,59.4482001247537,22.881131906833684,6.126697740262856
30,4489.66803790124,30.03086843567084,12.096282458778962,50.0,20.0,25.352527144921815,60.20033510479526,70.33141955994171,10.36507409480882
32,4509.278605973876,29.848710259876896,12.034014060543413,50.0,20.0,24.855693711885564,60.068682217026506,25.33408780769618,14.216540666091852
34,4507.692279451485,30.027118421418642,12.0368373627183,50.0,20.0,25.008944468622484,60.95415834089538,74.25279290897075,10.892538516219492
36,4492.826749604789,29.8447536290747,11.981199525517416,50.0,20.0,25.110477900301877,59.53976938103551,76.2603192741921,5.326804611562173
38,4505.611879331899,30.012640963939305,11.962384493095469,50.0,20.0,24.845182539721744,59.11516071531753,65.51190396441473,6.086530080752118
40,4522.7187499454685,29.987801068412296,11.989504141076972,50.0,20.0,25.00834853394595,59.28099305801342,68.22434707711285,7.146117776776738
42,4499.621164040625,30.055256031404213,11.959146396825581,50.0,20.0,24.951156141609708,60.14875734912982,27.190773764318806,5.202947825498457
44,4507.604858048129,30.113457021381507,12.088766651158515,50.0,20.0,25.057690151188073,59.926327781143115,57.46275437792426,17.687247017979928
46,4495.858121339103,30.234702471642034,12.000172925087904,50.0,20.0,25.364591785811843,60.005321541349716,60.18924001109557,5.208215925535758
48,4498.130154513731,30.031388582584214,12.005165172809303,50.0,20.0,24.728758377340895,59.44682481902692,72.65866996053921,13.698883861642845
50,4487.4812883602335,30.06702447982834,11.973304060275241,50.0,20.0,24.876373238500687,59.95559201731944,63.73602029817327,11.136087693850579
52,4490.704263883592,30.15727820103376,11.975728765367363,50.0,20.0,25.015082105278978,59.77977533280788,72.96065804847893,16.294073183711596
54,4502.921818343278,30.11530130882031,11.98732832374576,50.0,20.0,25.197593271739876,60.39178545976283,31.33895799565686,6.692042526789422
56,4493.630418003898,29.921413986677656,11.93406396388906,50.0,20.0,24.896074952550965,59.24118340509835,64.73804959239104,9.274898597820265
58,4503.526246607346,29.98203973361726,12.063869979742476,50.0,20.0,24.831445968253075,60.35421232814252,39.14987276915862,11.325074019800873
60,4506.197673468804,30.19425831462256,11.94785830484864,50.0,20.0,24.826158795369977,60.488424510195834,25.718259915053462,7.574562931586589
62,4487.53427688519,29.918058399705046,12.080903575097398,50.0,20.0,25.06723131015869,58.73478707712781,75.66811937063136,12.048373525322809
64,4508.967712856057,30.102827879765115,12.027695064094,50.0,20.0,24.653663205363323,60.10776177732024,47.38825216630433,17.20240505778775
66,4514.674941581235,30.24025444830849,11.945269191675212,50.0,20.0,25.01814508242962,59.68752512018634,38.837680940033394,8.279001119661993
68,4484.183499056699,29.933909583795806,11.938599254022902,50.0,20.0,24.755351297694084,60.226670424522226,20.80717110317073,12.203190220969349
70,4515.692357578681,30.065269522267602,12.023557831453871,50.0,20.0,25.034344500014996,59.865832616908115,79.3122688915296,13.00016304029739
72,4505.240990826419,30.05682383074275,11.970107996701083,50.0,20.0,24.39476523360285,60.29506448206284,32.836479299617,13.303898269856711
74,4509.0966401976,29.973086125481608,11.979843960170902,50.0,20.0,24.689995134109417,60.36832062002639,79.25362365573328,7.412768292445309
76,4495.040349297125,30.118199623661894,11.986581789329957,50.0,20.0,24.976011515432337,59.41748152620556,21.22299566320867,15.45147563398315
78,4505.9580405062225,29.884130230738986,12.037815181535782,50.0,20.0,24.901002403494513,60.08422748063712,70.72023064069592,16.216104378832814
80,4513.158025727253,29.95011921411945,12.096786824016721,50.0,20.0,24.566657178899884,60.41127951314009,27.620799319928338,15.136824579594034
82,4489.938272813003,29.969729085163966,12.033183270823343,50.0,20.0,24.97647116658032,59.97945141665151,26.673214805689263,13.02876879533657
84,4497.611368936564,30.016857114317258,11.96572471637125,50.0,20.0,25.191242013439776,59.89094610749001,42.15468237905242,11.864064521573045
86,4507.421630310213,30.107840241649647,11.898476589374583,50.0,20.0,24.998715996843433,60.53535995885328,21.735534572024747,17.218637936768474
88,4508.555742234502,29.94355625592726,12.033764689691786,50.0,20.0,24.836507309877867,60.013294861447456,69.93070641128477,18.642056697527092
90,4491.0213449687935,30.02140765459702,11.997662528996754,50.0,20.0,25.045415508160925,59.48661659371293,55.69536356385522,19.229007431446504
92,4515.492650040504,30.10329638676116,11.960144412022968,50.0,20.0,25.15164941766226,59.67346306078374,61.59745918163617,19.833590243130303
94,4495.743484444611,29.913255012743722,12.05723506934837,50.0,20.0,24.78551889286977,59.56075827968629,76.99265920476009,10.33361934940329
96,4517.056048983005,29.911390810123304,12.007962630340108,50.0,20.0,24.794482540538578,60.93611274166061,63.51878871704453,12.066750860891664
98,4489.948080327254,29.835405542360736,11.997676340690592,50.0,20.0,24.92861399351754,60.50237300054524,31.43378558588625,17.826510106294993
100,4502.617619231789,29.993608209729995,11.9839605326971,50.0,20.0,25.05838257528874,60.78061960750387,77.05542979479492,5.84845176621371
102,4497.545900945744,30.171391536095058,11.981598712863924,50.0,20.0,24.740981351905937,58.84751293833362,59.05064021505095,7.470581618757946
104,4509.775015329407,29.847463576149444,11.985044152438437,50.0,20.0,25.176159883631744,59.18334209741623,38.85126540416495,10.378831627384853
106,4483.728214693654,29.70779684885221,12.003261678240687,50.0,20.0,24.87190384677348,59.88564979512188,58.958155529801736,10.577629142050373
108,4500.981407911844,30.09903016734728,12.01580163371507,50.0,20.0,25.25692526326848,60.90864071318712,50.02754793070676,13.903510632169727
110,4504.321163990804,30.03918199025804,12.031456292736582,50.0,20.0,25.150239286399522,59.62597255077585,67.68485323491998,15.479022228517337
112,4492.9329669177705,30.04453385227345,11.98842165228778,50.0,20.0,24.828796881883733,59.75542983084893,49.0603379014483,7.6370480428645475
114,4492.200226594194,29.97003151039147,11.967877177860997,50.0,20.0,25.107694124233923,59.74544850854118,27.467816501844034,14.684601939731992
116,4495.495832780395,29.877174706793596,12.041061241919405,50.0,20.0,25.217221656292548,60.573994055428564,56.51846392916553,12.171965588732174
118,4497.235004809256,30.11306227112372,12.01494756143511,50.0,20.0,24.939916802431867,60.34149989217829,41.47455332178886,11.110453929832467
120,4503.927025377676,29.919729952403593,12.042047078614264,50.0,20.0,25.012590672173854,59.949343817735674,71.71194599410627,18.730481400399967
122,4510.0007151743985,30.0634259018561,12.056659059243106,50.0,20.0,25.035175645756954,60.08705877274637,44.91033401251141,15.983412504282539
124,4498.1597816150315,30.09340180569392,11.947535335231692,50.0,20.0,25.090333274636894,59.77806837010624,66.00715407707489,6.415754418928803
126,4503.443094983876,29.9755499578599,12.011169627270121,50.0,20.0,24.943538923343098,59.32878177148598,68.92198295230821,7.527169257188808
128,4497.977292591704,29.878946882908302,12.010885220883182,50.0,20.0,24.848670620513428,59.8867777461363,38.47666574191083,8.148552811036904
130,4505.452077719385,30.025465027341216,11.843460485783753,50.0,20.0,24.69564958012714,59.77125771400087,28.16494758795415,9.08214533982649
132,4490.219915651108,29.806517796335413,11.988078388954888,50.0,20.0,24.738746561345252,59.47164839375423,51.14164137300084,18.474398043440743
134,4493.974886814426,30.08132470174641,11.958485736676263,50.0,20.0,25.09331334338299,60.137411730955996,50.15975433675109,8.212353891797033
136,4495.301138475211,30.022421245033833,11.963993319627924,50.0,20.0,24.884052579993625,58.911705507781015,69.03212785858835,5.4729392245914426
138,4519.677336700427,29.862581481624403,11.971492346978948,50.0,20.0,25.093482770063073,60.92371896601045,36.26633394333983,9.744197141267922
140,4484.076222538458,29.860454117698453,12.028206255093568,50.0,20.0,25.07926876736061,60.114897574124996,75.13599749977017,15.547377874061535
142,4495.569671970223,30.165180083244316,11.97552062761083,50.0,20.0,25.066582155189785,60.16500059282752,55.62746250947219,19.536787183429297
144,4502.128214775871,29.959033296561653,11.936062136267376,50.0,20.0,24.991650059804645,59.11233394112891,60.997835068624894,10.25745936762453
146,4503.838517437154,29.914338641562562,12.072892313780237,50.0,20.0,24.841273745696427,59.39060674652076,48.25376666793983,10.203619547157018
148,4507.511207638451,29.935943320379046,11.979713472733065,50.0,20.0,24.609226653668152,59.952205568257085,32.558108890770136,13.416372251443708
150,4494.029380320146,30.091307958971345,11.927614950457034,50.0,20.0,25.16368777686553,59.29896195281184,46.978043545169335,6.0249223862003785
152,4503.776085578333,29.96748126077092,12.006052008785682,50.0,20.0,24.99223181079313,61.17179824326557,77.8422542837647,19.393897781311434
154,4509.4615240000985,29.989948742720603,12.098898071599503,50.0,20.0,24.73144496880331,59.42539021526269,40.425098138926714,6.633367206949676
156,4512.734292213918,30.068591382144827,11.95895451599148,50.0,20.0,25.223548954650212,60.03890501152096,62.642206968411806,5.367262535400022
158,4499.867648495146,29.978260420905496,12.014180049572976,50.0,20.0,24.834380019045085,60.02265608432862,25.972548939197146,15.151927677568674
160,4481.949757307795,29.91909278655377,11.8731577133856,50.0,20.0,24.64959384246009,60.31306315192237,37.57860886984523,18.794958410627387
162,4508.865278945799,29.894135663612783,11.917810781887095,50.0,20.0,24.76991518672936,59.27192645285123,24.08604813427441,13.404430272000129
164,4503.338049223617,30.07877276283262,11.994703868202704,50.0,20.0,25.023650187733626,60.09938749433825,72.21026360507078,15.086064948622605
166,4497.297484600706,29.99045236518882,12.003267122039658,50.0,20.0,24.966388781191412,59.60460965740193,61.83046035856367,17.969957820437852
168,4496.748172083681,29.97284029757188,11.987304520816318,50.0,20.0,24.775626644005936,60.58238868392668,30.018143409660823,14.121253410492022
170,4495.548704149561,30.10253606178998,11.971405001483046,50.0,20.0,24.995716555088812,60.02850445102926,56.283399120602375,14.83459798013335
172,4513.192745726415,29.964563559526635,12.035575253654669,50.0,20.0,24.70121491267683,59.36232379974122,76.18346016058916,15.030943685028129
174,4496.201849173273,29.885086355541624,12.01777413352735,50.0,20.0,24.675836592488892,60.37324854571166,36.959811171278176,18.4922352165162
176,4509.929217851385,30.047381177694014,11.98056762352725,50.0,20.0,25.05169512632235,59.67603186592919,33.15691517667902,10.634213020136464
178,4505.226662052649,30.065937112564054,11.995696769984916,50.0,20.0,24.98285190457686,59.91257242441737,74.92386374626301,8.499205582720961
180,4499.5540490498815,29.986279404397493,12.019093576615855,50.0,20.0,25.398099473119395,59.89552654608977,43.17320537587139,16.506652917380197
182,4521.802691861006,30.16204265433641,12.010749533834485,50.0,20.0,25.273530873042777,60.11821230330106,32.95311702834652,13.496676121889193
184,4497.246821939948,29.91369274725728,12.009806667149432,50.0,20.0,24.536522086957493,60.08775145148987,31.706155960250726,14.282838407429418
186,4486.797431197863,29.967331301243856,12.044970896020585,50.0,20.0,25.11819301221207,59.08330410890587,21.498263655824733,11.568970608250083
188,4498.685028918169,30.086026364221112,11.994133065143396,50.0,20.0,24.955957297325156,60.05244059587597,59.03205415659519,13.054762752710426
190,4497.897840105812,29.91547776749179,12.009105679402477,50.0,20.0,24.714214274849553,60.03566794435696,72.34332562464431,18.381499978509204
192,4495.9490437352215,30.058409363481353,12.059370319957646,50.0,20.0,25.182969186682943,59.87267120255045,54.645270399066575,14.972044559021908
194,4522.105240706984,30.205856179118268,12.063910312001251,50.0,20.0,24.77702799834834,59.97717316246815,41.534749523138004,15.340069808189233
196,4500.4010108532775,30.158276582617184,11.962046045114025,50.0,20.0,24.836039134800416,60.052774245463084,23.465177582370874,16.764896114868574
198,4521.481801050611,29.891407912855126,11.963242099798073,50.0,20.0,25.09395788178985,59.515427306542506,68.07279309339907,13.990833412391199
200,4486.398193935747,29.995037401977026,11.918347474462973,50.0,20.0,24.70457787874237,60.1991574544091,27.72138708480508,17.22538845472226
202,4498.270458374624,30.024753941750706,11.934306476098604,50.0,20.0,24.917779723843818,59.58833023335509,62.03408006401612,10.864712663447818
204,4504.170848885555,30.109445707176842,11.976771112525466,50.0,20.0,25.30651323800162,60.48164547402871,54.19841640947116,6.335355803035964
206,4527.913977958354,29.99447440793142,11.939612115826765,50.0,20.0,24.886842257336333,59.012117136800626,64.33246820362783,11.392801577227461
208,4492.883096706436,29.946967362428925,12.001501709222461,50.0,20.0,25.25659357700862,59.31413195692969,30.243440060092496,6.180113184136967
210,4513.267445255378,30.09286234690888,12.000355061642223,50.0,20.0,25.01931737445951,59.465973873933564,31.165962203463543,11.330417184452141
212,4508.087308307046,30.212284440508768,12.03535334794951,50.0,20.0,25.293872562190536,59.974716860019846,44.751312014356415,5.654269679758299
214,4495.647902720144,30.094968392391518,12.053069964607621,50.0,20.0,25.23080912002451,60.84931873565762,62.8489235726667,10.558235904899593
216,4492.634612183418,29.802823873523284,12.056124582751861,50.0,20.0,24.743317120634263,60.22744543323851,58.12564253180233,15.822378239589678
218,4497.678037237401,30.027080856176532,12.062337323899676,50.0,20.0,24.886268197444224,60.42510940680731,41.15599562050549,10.581728290051483
220,4501.604882053171,30.00599717309573,12.067061074471733,50.0,20.0,24.94587366800576,59.55957481532402,25.646133085449954,14.012562669009782
222,4504.0945946142765,29.96386112441323,11.988104150045212,50.0,20.0,24.678504010395102,59.60687883369997,46.31045391174084,7.174998274743865
224,4495.620516594199,30.170004167006184,11.999368100385736,50.0,20.0,24.98681773785767,59.33061347931722,24.05241815001156,6.881402199775004
226,4502.008138230223,29.965229080680444,11.992793333143792,50.0,20.0,25.109079893019075,60.56816130399753,29.82014190758395,13.932158469297667
228,4518.285500753895,29.987764492655668,12.015262500177446,50.0,20.0,25.030234201188367,58.95246621123994,57.121212433824844,11.30213787174866
230,4508.471440896457,29.990135977254724,11.978311274453988,50.0,20.0,24.92562089405391,60.10914825307563,77.93693746866461,11.99953736167063
232,4505.3255710303465,29.994849932798637,12.015604380715722,50.0,20.0,24.63280450065919,59.29013709770945,34.24680821596551,11.141772430845002
234,4494.594090366732,29.968322366657308,11.93468099398043,50.0,20.0,25.515896418898222,60.60653604426866,33.51862058960495,15.279304350066964
236,4492.677245348079,30.14778212540086,11.946815276691934,50.0,20.0,25.30544463353214,60.30500735402148,27.241014799005228,5.397058579129875
238,4497.208376987422,29.946978307586754,12.011261634770126,50.0,20.0,25.289743535480095,59.22806617184753,78.96232889250972,12.151603509729794
240,4484.918146728417,29.819057160832223,12.017144605710625,50.0,20.0,24.816186197016354,59.4441695658573,51.427683105476774,16.831998342772387
